x,y
-44.13012,-150.8248
-51.68051,-149.20483
-59.068806,-147.2103
-66.28703,-144.85342
-73.32722,-142.14633
-83.561005,-137.49573
-96.477585,-130.12665
-108.53862,-121.576035
-119.680374,-111.94136
-129.83911,-101.32005
-138.95108,-89.80955
-146.95255,-77.50729
-153.7798,-64.51073
-159.36906,-50.917267
-163.65665,-36.82437
-166.57874,-22.329475
-167.78973,-11.245869
-168.16696,-3.7882648
-168.19873,-0.039916992
-168.16495,4.5269003
-167.76257,13.454695
-166.96396,22.13316
-165.77524,30.55972
-164.20258,38.731796
-162.2521,46.646805
-159.93,54.302177
-157.24234,61.695335
-154.19534,68.8237
-150.7951,75.68469
-147.04776,82.275734
-142.9595,88.59425
-138.53644,94.637665
-133.78473,100.40339
-128.71051,105.888855
-123.319916,111.09148
-117.6191,116.00868
-111.614204,120.6379
-105.31138,124.976555
-98.71676,129.02206
-91.8365,132.77182
-84.676735,136.22328
-77.243614,139.37387
-69.543274,142.22101
-57.536667,145.95581
-40.60643,149.79837
-22.717928,152.3807
-3.9203095,153.68219
5.838867,153.7915
11.262325,153.71902
21.598682,152.87642
31.33818,151.24557
40.498375,148.88086
49.096836,145.83664
57.15112,142.16727
64.67879,137.9271
71.6974,133.17049
78.224525,127.9518
84.277725,122.32541
89.87456,116.34567
95.03259,110.066956
99.769394,103.54361
104.10249,96.83
109.92866,86.52855
116.383545,72.612076
121.53984,58.913048
125.53804,45.866356
128.51862,33.906883
131.4721,18.685741
133.01358,6.508827
133.09521,5.349121
-92.102905,5.349121
-102.34094,10.46814
53.75,10.46814
57.660217,10.535696
64.95918,11.321032
71.6357,12.841037
77.69342,15.045044
83.136,17.882387
87.9671,21.302399
92.1904,25.254412
95.80955,29.687761
98.82821,34.551777
101.25004,39.79579
103.0787,45.36915
104.317856,51.221165
104.97117,57.301193
105.0423,63.558548
104.534904,69.942566
103.45266,76.40259
101.79922,82.88794
99.57824,89.34796
96.79338,95.73198
93.44831,101.989334
89.54669,108.06935
85.09218,113.92137
80.08844,119.49473
74.53912,124.73874
68.44792,129.60278
61.81846,134.03613
54.65442,137.98813
46.959457,141.40814
38.737236,144.24548
29.991417,146.4495
20.725658,147.96948
10.943625,148.75482
5.838867,148.82239
1.8724318,148.78027
-5.9007015,148.28278
-13.478807,147.30359
-20.85817,145.85849
-28.035078,143.96326
-35.005814,141.63373
-41.766663,138.88568
-48.313908,135.73491
-54.643833,132.19719
-60.752735,128.28836
-66.6369,124.024185
-72.292595,119.42047
-77.716125,114.493
-82.903755,109.25758
-90.26544,100.895164
-99.18081,88.76617
-107.08577,75.689674
-113.95059,61.79206
-119.745575,47.19969
-124.440994,32.03892
-128.00714,16.436111
-130.41428,0.5176343
-131.63269,-15.590152
-131.73547,-23.675537
-131.69987,-27.570362
-131.22836,-36.112732
-130.19669,-45.390587
-128.5162,-55.2175
-126.09827,-65.40705
-122.85421,-75.77281
-118.69539,-86.12834
-113.53315,-96.28725
-107.278854,-106.063095
-99.843834,-115.26943
-93.39766,-121.66031
-88.71151,-125.66159
-83.6803,-129.41565
-78.292984,-132.89915
-72.53845,-136.0888
-66.40563,-138.9613
-59.88344,-141.49338
-52.9608,-143.66168
-45.626625,-145.44293
-37.869843,-146.81384
-29.679358,-147.75108
-21.044096,-148.23135
-16.536987,-148.27234
24.330444,-148.26236
107.54004,-148.24237
107.53003,-148.23236
127.09631,-148.23236
131.68799,-148.23236
133.38513,-148.23236
133.37512,-148.23236
139.39404,-148.23236
148.0951,-148.13777
162.28183,-147.04626
170.53497,-145.53442
175.1247,-144.25174
178.99295,-142.74521
182.19629,-141.02576
184.79129,-139.10425
186.83444,-136.99158
188.38237,-134.69864
189.49155,-132.23633
190.49359,-128.26694
190.75821,-122.45691
190.56458,-119.34772
172.9978,91.433105
171.98581,103.810165
169.91269,118.83055
168.19363,125.04744
166.68988,128.72472
164.81711,131.99974
162.51709,134.87091
159.7316,137.33665
156.40237,139.39539
152.47124,141.04556
147.87991,142.28555
